,count,mean,std,min,25%,50%,75%,max
Wind_Speed,590753.0,2.6851926462946745,1.1607777161045543,0.0,1.785730839,2.521551132,3.438602448,6.528067112
Weather_Temperature_Celsius,590753.0,21.75093808696504,9.65085575380758,-9.898392677,15.09781742,22.24030495,28.86152458,51.45365143
Weather_Relative_Humidity,590753.0,34.15818661040713,21.94071328710993,0.0,17.11351395,28.31633377,46.88442612,100.8689346
Global_Horizontal_Radiation,590753.0,272.9057784552506,371.27606853408895,0.0,2.114784479,8.795385361,553.1976929,1380.994751
Diffuse_Horizontal_Radiation,590753.0,45.025109040220194,63.336569998798225,0.0,1.30683589,6.789832592,70.76966095,317.3721313
Wind_Direction,590753.0,100.02503114093487,114.55963597432009,-6.979632854,30.30347443,38.83124161,165.0670776,573.8366699
Weather_Daily_Rainfall,590753.0,0.13053001414303267,0.7163313394699861,0.0,0.0,0.0,0.0,8.000000954
Radiation_Global_Tilted,590753.0,290.894554245283,386.917144395665,-0.011761055,2.79197526,9.478571892,595.5506592,1446.10022
Radiation_Diffuse_Tilted,590753.0,48.78663189023839,66.74597394675014,-0.019196572,1.547368765,7.71776247,78.99269867,326.2330933
Active_Energy_Delivered_Received,590753.0,84395.11830494301,20337.085196086584,49697.0,67167.0,84216.0,101933.0,120151.0
Current_Phase_Average,590753.0,6.0565826414139705,7.630224419490057,0.0,0.300000042,0.30066672,12.77533245,25.04733658
Performance_Ratio,590753.0,52.37707322211306,185.07549609679984,-16.86562729,0.0,0.630223572,82.09999084,3888.07666
load,590753.0,1.446190570817253,1.937515565087558,-0.006866667,0.0,6.67e-05,3.142666578,6.131066799
