n_estimators,max_depth,learning_rate,subsample,colsample_bytree,max_bin,early_stopping_rounds,progress_interval,nRMSE(%),nMAE(%),R2,RMSE_scaled,MAE_scaled,stage,target_count
200,4,0.03,0.8,0.8,256,30,16,25.74049204811932,20.059625020549756,0.3332829516391149,0.2574049204811932,0.2005962502054975,coarse,16
300,4,0.03,0.8,0.8,256,30,16,25.74049204811932,20.059625020549756,0.3332829516391149,0.2574049204811932,0.2005962502054975,coarse,16
200,4,0.05,0.8,0.8,256,30,16,25.741491699552444,20.00451952864624,0.333231165714172,0.2574149169955244,0.2000451952864624,coarse,16
300,4,0.05,0.8,0.8,256,30,16,25.741491699552444,20.00451952864624,0.333231165714172,0.2574149169955244,0.2000451952864624,coarse,16
200,5,0.03,0.8,0.8,256,30,16,25.7468202589084,19.9817405135076,0.3329550911895501,0.257468202589084,0.199817405135076,coarse,16
300,5,0.03,0.8,0.8,256,30,16,25.7468202589084,19.9817405135076,0.3329550911895501,0.257468202589084,0.199817405135076,coarse,16
200,4,0.05,0.8,1.0,256,30,16,25.75573882268544,20.05200842122652,0.3324928894211707,0.2575573882268543,0.2005200842122652,coarse,16
300,4,0.05,0.8,1.0,256,30,16,25.75573882268544,20.05200842122652,0.3324928894211707,0.2575573882268543,0.2005200842122652,coarse,16
200,4,0.03,1.0,0.8,256,30,16,25.756619528980107,20.05474210782909,0.3324472384096287,0.257566195289801,0.2005474210782909,coarse,16
300,4,0.03,1.0,0.8,256,30,16,25.756619528980107,20.05474210782909,0.3324472384096287,0.257566195289801,0.2005474210782909,coarse,16
200,4,0.03,1.0,1.0,256,30,16,25.766224640642758,20.039600990675403,0.33194926045339,0.2576622464064275,0.200396009906754,coarse,16
300,4,0.03,1.0,1.0,256,30,16,25.766224640642758,20.039600990675403,0.33194926045339,0.2576622464064275,0.200396009906754,coarse,16
200,4,0.05,1.0,0.8,256,30,16,25.76690896956758,20.085497529519117,0.3319137742677596,0.2576690896956758,0.2008549752951911,coarse,16
300,4,0.05,1.0,0.8,256,30,16,25.76690896956758,20.085497529519117,0.3319137742677596,0.2576690896956758,0.2008549752951911,coarse,16
200,4,0.05,1.0,1.0,256,30,16,25.769005601157065,20.105372324626288,0.3318050466221455,0.2576900560115706,0.2010537232462628,coarse,16
300,4,0.05,1.0,1.0,256,30,16,25.769005601157065,20.105372324626288,0.3318050466221455,0.2576900560115706,0.2010537232462628,coarse,16
200,4,0.03,0.8,1.0,256,30,16,25.787747571207188,20.0935214304562,0.3308327278502107,0.2578774757120718,0.2009352143045619,coarse,16
300,4,0.03,0.8,1.0,256,30,16,25.787747571207188,20.0935214304562,0.3308327278502107,0.2578774757120718,0.2009352143045619,coarse,16
200,5,0.05,0.8,0.8,256,30,16,25.790251560057516,20.02848438775168,0.3307027693314559,0.2579025156005751,0.2002848438775168,coarse,16
300,5,0.05,0.8,0.8,256,30,16,25.790251560057516,20.02848438775168,0.3307027693314559,0.2579025156005751,0.2002848438775168,coarse,16
